24.24,41.12
24.23,41.12
24.21,41.12
24.23,41.12
24.23,41.13
24.20,41.13
24.21,41.14
24.20,41.15
24.20,41.15
24.21,41.16
24.20,41.16
24.21,41.17
24.20,41.18
24.20,41.18
24.20,41.20
24.20,41.20
24.20,41.21
24.20,41.21
24.20,41.22
24.20,41.23
24.19,41.23
24.19,41.23
24.20,41.23
24.19,41.24
24.19,41.24
24.20,41.25
24.18,41.25
24.19,41.25
24.20,41.26
24.19,41.25
24.20,41.25
24.19,41.26
24.18,41.26
24.18,41.26
24.18,41.26
24.18,41.27
24.19,41.28
24.18,41.27
24.18,41.28
24.18,41.28
24.18,41.28
24.18,41.29
24.18,41.29
24.17,41.29
24.18,41.29
24.18,41.29
24.16,41.29
24.18,41.30
24.17,41.30
24.17,41.29
24.16,41.29
24.16,41.30
24.17,41.29
24.17,41.29
24.17,41.30
24.17,41.30
24.17,41.30
24.16,41.31
24.16,41.31
24.18,41.31
24.17,41.31
24.17,41.32
24.17,41.32
24.15,41.32
24.17,41.32
24.17,41.32
24.18,41.33
24.16,41.33
24.17,41.33
24.17,41.33
24.17,41.33
24.16,41.33
24.17,41.33
24.17,41.33
24.17,41.32
24.15,41.32
24.16,41.32
24.16,41.32
24.16,41.32
24.17,41.31
24.15,41.31
24.16,41.31
24.15,41.31
24.17,41.31
24.16,41.31
24.16,41.31
24.16,41.31
24.16,41.31
24.15,41.30
24.17,41.30
24.15,41.31
24.16,41.31
24.16,41.30
24.15,41.29
24.16,41.31
24.16,41.30
24.16,41.31
24.16,41.30
24.15,41.30
24.16,41.30
24.15,41.29
24.15,41.31
24.17,41.31
24.15,41.31
24.16,41.31
24.15,41.32
24.16,41.32
24.15,41.33
24.15,41.33
24.16,41.33
24.16,41.34
24.15,41.34
24.16,41.34
24.15,41.35
24.15,41.36
24.16,41.36
24.16,41.36
24.14,41.36
24.14,41.36
24.15,41.36
24.15,41.37
24.15,41.36
24.16,41.37
24.16,41.37
24.15,41.37
24.16,41.38
24.17,41.37
24.16,41.38
24.16,41.39
24.16,41.38
24.16,41.39
